name,phone,type,addr,city,full_addr,country,state,state_short,postal,lat,lng,city_freq,type_freq,state_freq
adriano s ristorante,310 475 9807, italian ,2930 beverly glen circle,los angeles,"2930 beverly glen circle, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,3,20
arnie morton s of chicago,310 246 1501, american ,435 s la cienega blvd,los angeles,"435 s la cienega blvd, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,6,20
art s delicatessen,818 762 1221, american ,12224 ventura blvd,studio city,"12224 ventura blvd, studio city",United States,California,CA,91604,34.142972,-118.399351,1,6,20
barney greengrass,310 777 5877, american ,9570 wilshire blvd,beverly hills,"9570 wilshire blvd, beverly hills",United States,California,CA,91604,34.142972,-118.399351,1,6,20
beaurivage,310 456 5733, french ,26025 pacific coast hwy,malibu,"26025 pacific coast hwy, malibu",United States,California,CA,91604,34.142972,-118.399351,1,3,20
bistro garden,310 550 3900, californian ,176 n canon dr,los angeles,"176 n canon dr, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,4,20
border grill,310 451 1655, mexican ,4th st,los angeles,"4th st, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,1,20
broadway deli,310 451 0616, american ,3rd st promenade,santa monica,"3rd st promenade, santa monica",United States,California,CA,91604,34.142972,-118.399351,2,6,20
ca brea,213 938 2863, italian ,346 s la brea ave,los angeles,"346 s la brea ave, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,3,20
ca del sol,818 985 4669, italian ,4100 cahuenga blvd,los angeles,"4100 cahuenga blvd, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,3,20
cafe bizou,818 788 3536, french ,14016 ventura blvd,sherman oaks,"14016 ventura blvd, sherman oaks",United States,California,CA,91604,34.142972,-118.399351,1,3,20
cafe pinot,213 239 6500, californian ,700 w fifth st,los angeles,"700 w fifth st, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,4,20
california pizza kitchen,310 275 1101, californian ,207 s beverly dr,los angeles,"207 s beverly dr, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,4,20
campanile,213 938 1447, american ,624 s la brea ave,los angeles,"624 s la brea ave, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,6,20
canter s,213 651 2030, american ,419 n fairfax ave,los angeles,"419 n fairfax ave, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,6,20
cava,213 658 8898, mediterranean ,3rd st,los angeles,"3rd st, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,1,20
cha cha cha,213 664 7723, caribbean ,656 n virgil ave,los angeles,"656 n virgil ave, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,1,20
chan dara,213 467 1052, asian ,310 n larchmont blvd,los angeles,"310 n larchmont blvd, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,1,20
chinois on main,310 392 9025, french ,2709 main st,santa monica,"2709 main st, santa monica",United States,California,CA,91604,34.142972,-118.399351,2,3,20
citrus,213 857 0034, californian ,6703 melrose ave,los angeles,"6703 melrose ave, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,4,20
adriano ristorante,310 475 9807, italian ,2930 beverly glen circle,los angeles,"2930 beverly glen circle, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,3,20
arnie morton,310 246 1501, american ,435 s la cienega blvd,los angeles,"435 s la cienega blvd, los angeles",United States,California,CA,91604,34.142972,-118.399351,14,6,20
