# id,coord_ra,coord_dec,parent,deblend_nChild,deblend_psfCenter_x,deblend_psfCenter_y,deblend_psfFlux,base_GaussianCentroid_x,base_GaussianCentroid_y,base_NaiveCentroid_x,base_NaiveCentroid_y,base_SdssCentroid_x,base_SdssCentroid_y,base_SdssCentroid_xSigma,base_SdssCentroid_ySigma,base_SdssShape_xx,base_SdssShape_yy,base_SdssShape_xy,base_SdssShape_xxSigma,base_SdssShape_yySigma,base_SdssShape_xySigma,base_SdssShape_x,base_SdssShape_y,base_SdssShape_flux,base_SdssShape_fluxSigma,base_SdssShape_psf_xx,base_SdssShape_psf_yy,base_SdssShape_psf_xy,base_SdssShape_flux_xx_Cov,base_SdssShape_flux_yy_Cov,base_SdssShape_flux_xy_Cov,ext_shapeHSM_HsmPsfMoments_x,ext_shapeHSM_HsmPsfMoments_y,ext_shapeHSM_HsmPsfMoments_xx,ext_shapeHSM_HsmPsfMoments_yy,ext_shapeHSM_HsmPsfMoments_xy,ext_shapeHSM_HsmShapeRegauss_e1,ext_shapeHSM_HsmShapeRegauss_e2,ext_shapeHSM_HsmShapeRegauss_sigma,ext_shapeHSM_HsmShapeRegauss_resolution,ext_shapeHSM_HsmSourceMoments_x,ext_shapeHSM_HsmSourceMoments_y,ext_shapeHSM_HsmSourceMoments_xx,ext_shapeHSM_HsmSourceMoments_yy,ext_shapeHSM_HsmSourceMoments_xy,base_CircularApertureFlux_3_0_flux,base_CircularApertureFlux_3_0_fluxSigma,base_CircularApertureFlux_4_5_flux,base_CircularApertureFlux_4_5_fluxSigma,base_CircularApertureFlux_6_0_flux,base_CircularApertureFlux_6_0_fluxSigma,base_CircularApertureFlux_9_0_flux,base_CircularApertureFlux_9_0_fluxSigma,base_CircularApertureFlux_12_0_flux,base_CircularApertureFlux_12_0_fluxSigma,base_CircularApertureFlux_17_0_flux,base_CircularApertureFlux_17_0_fluxSigma,base_CircularApertureFlux_25_0_flux,base_CircularApertureFlux_25_0_fluxSigma,base_CircularApertureFlux_35_0_flux,base_CircularApertureFlux_35_0_fluxSigma,base_CircularApertureFlux_50_0_flux,base_CircularApertureFlux_50_0_fluxSigma,base_CircularApertureFlux_70_0_flux,base_CircularApertureFlux_70_0_fluxSigma,base_GaussianFlux_flux,base_GaussianFlux_fluxSigma,base_PsfFlux_flux,base_PsfFlux_fluxSigma,base_Variance_value,base_PsfFlux_apCorr,base_PsfFlux_apCorrSigma,base_GaussianFlux_apCorr,base_GaussianFlux_apCorrSigma,base_ClassificationExtendedness_value,footprint
  1.0000,  0.0035,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan, 27.9032,  8.0576, 28.0071, 10.8375, 28.0000, 11.0000,     nan,     nan, 13.3277, 26.0009,  0.8926,  0.1681,  0.1662,  0.3280, 27.9298,  9.0976,17136.5794,108.0877, 11.2546, 11.7692,  0.2979, -9.0863, -0.6086,-17.7263, -0.0009, -0.0003, 11.2604, 11.7764,  0.2980,  0.7319,  0.0648,  0.1571,  0.0501, 27.9173,  8.2913, 12.8860, 11.5053,  0.3597,3693.8997, 25.7848,7114.4873, 39.0555,10403.4160, 52.3649,14894.7725, 78.9488,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,14034.0965, 65.2405,13714.9232, 63.4345,     nan,  0.9592,  0.0000,  1.0551,  0.0000,     nan,  1.0000
  2.0000,  0.0032,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,252.2196, 20.1942,251.9984, 20.0418,252.0000, 20.0000,     nan,     nan, 51.4459, 96.7469,-55.6241,  0.7700,  0.9508,  1.4480,254.5762, 16.4408,22065.4624,165.1253, 11.1518, 11.6429,  0.4725,-63.5719, 68.7349,-119.5506, -0.0008, -0.0004, 11.1581, 11.6514,  0.4712, -0.3744, -0.8382,  0.0133,  0.7464,256.1312, 14.3067, 32.6420, 60.1800,-30.0591,2596.6604, 25.7848,4823.5127, 39.0556,6820.1465, 52.3650,10202.3076, 78.9504,14130.0228,105.0000,20288.4107,150.0833,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,19756.9705,106.8688,9449.7392, 63.2279,     nan,  0.9597,  0.0000,  1.0565,  0.0000,     nan,  2.0000
  3.0000,  0.0031,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,437.0000, 11.0000,436.7162, 10.6531,437.0000, 11.0000,     nan,     nan, 29.2801, 63.2049,  2.6442,     nan,     nan,     nan,436.2229,  6.0765,     nan,     nan, 11.0817, 11.5670,  0.5899,     nan,     nan,     nan, -0.0007, -0.0005, 11.0867, 11.5735,  0.5913,     nan,     nan,     nan,     nan,436.8228,  4.1807,  9.7567,  2.2336,  0.0074,103.5726, 25.7848,236.5937, 39.0555,502.6186, 52.3649,1560.7595, 78.9488,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,180.9908, 40.4960,782.3871, 63.0985,     nan,  0.9601,  0.0000,  1.0574,  0.0000,     nan,  3.0000
  4.0000,  0.0024,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1073.2919,  6.2970,1073.0061, 10.7631,1073.0000, 11.0000,     nan,     nan,  7.2214, 10.4029, -0.3433,     nan,     nan,     nan,1072.9995, 10.4979,     nan,     nan, 10.9045, 11.4644,  0.8902,     nan,     nan,     nan, -0.0005, -0.0007, 10.9110, 11.4715,  0.8902,     nan,     nan,     nan,     nan,1073.3255,  6.8218, 12.4301,  9.3379,  0.2325,584.4846, 25.7848,1233.4442, 39.0555,2032.4614, 52.3649,3318.2549, 78.9488,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,2376.6587, 61.6180,2560.9576, 62.8275,     nan,  0.9608,  0.0000,  1.0593,  0.0000,     nan,  4.0000
  5.0000,  0.0024,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1136.1482, 18.7259,1136.0078, 18.9862,1136.0000, 19.0000,     nan,     nan, 11.7411, 13.7530,  1.2409,  0.0570,  0.0438,  0.0668,1136.0738, 18.8587,36729.0682, 89.1406, 10.8924, 11.4666,  0.9115, -2.5401, -0.2685, -2.9753, -0.0005, -0.0007, 10.8993, 11.4741,  0.9112, -0.6820,  0.3504,  0.0308,  0.1032,1136.1472, 18.7174, 11.7431, 13.7365,  1.2822,11189.1348, 25.7848,20201.5840, 39.0556,27467.3281, 52.3650,35209.3516, 78.9503,38494.3353,105.0000,43619.6590,150.0833,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,38891.1161, 66.7423,36657.8315, 62.8111,     nan,  0.9608,  0.0000,  1.0593,  0.0000,     nan,  5.0000
  6.0000,  0.0019,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1622.7601, 22.5159,1622.0400, 22.0348,1622.7526, 22.5167,  0.0095,  0.0093, 12.4801, 11.4240, -0.0664,  0.0563,  0.0381,  0.0516,1622.7589, 22.5149,38383.7055, 86.6156, 10.8330, 11.5693,  1.0122, -2.4393,  0.0130, -2.2329, -0.0005, -0.0008, 10.8395, 11.5760,  1.0120,  1.7438, -2.1216,  0.0576,  0.0523,1622.7653, 22.5130, 12.4906, 11.4319, -0.0671,12685.7471, 26.0361,21935.3652, 38.9894,29521.0742, 52.2875,37265.1719, 78.8757,40305.4225,106.5364,42531.0712,150.8310,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,40663.3528, 64.8840,39365.9060, 62.8288,     nan,  0.9608,  0.0000,  1.0590,  0.0000,  0.0000,  6.0000
  7.0000,  0.0017,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1804.6665, 13.4061,1804.9796, 13.0195,1805.0000, 13.0000,     nan,     nan, 12.4535, 18.4221, -1.3702,  0.0997,  0.0861,  0.1475,1804.8338, 13.1901,24311.7906, 97.3543, 10.8235, 11.6447,  1.0249, -4.8550,  0.5342, -7.1818, -0.0005, -0.0008, 10.8301, 11.6517,  1.0247, -0.7232, -0.6720,  0.0232,  0.2270,1804.6693, 13.3876, 12.3260, 17.8959, -1.1931,6394.5322, 25.7848,11864.9824, 39.0556,16642.9297, 52.3650,22396.0586, 78.9498,24823.3663,105.0000,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,25492.6956, 72.1883,21926.0020, 62.9097,     nan,  0.9608,  0.0000,  1.0585,  0.0000,     nan,  7.0000
  8.0000,  0.0015,  0.0000,  0.0000,  2.0000,     nan,     nan,     nan,2085.8966, 23.8363,2085.0355, 23.0412,2085.8944, 23.8365,  0.0381,  0.0384, 13.2234, 12.4802,  1.0614,  0.2357,  0.1625,  0.2225,2085.8953, 23.8369,10062.8347, 89.6886, 10.8250, 11.7970,  1.0196,-10.5705, -0.8485, -9.9765, -0.0005, -0.0009, 10.8318, 11.8046,  1.0194,     nan,     nan,     nan,     nan,2085.8960, 23.8374, 13.2329, 12.4899,  1.0621,3094.0825, 25.9613,5511.7056, 39.0404,7479.0913, 52.3471,9643.7422, 78.9333,10463.4149,106.0660,11076.6928,150.4992,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,10644.8108, 67.0872,9998.8068, 63.0504,     nan,  0.9605,  0.0000,  1.0574,  0.0000,  0.0000,  8.0000
  9.0000,  0.0008,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,2812.9642, 13.4025,2812.9833, 12.9996,2813.0000, 13.0000,     nan,     nan, 22.4968, 22.6978,  5.5513,  0.5053,  0.3696,  0.5099,2812.9848, 13.2092,10445.2283,117.3162, 10.9089, 12.4471,  0.8485,-29.6428, -7.3146,-29.9077, -0.0006, -0.0012, 10.9148, 12.4538,  0.8487,  0.0788,  0.4692,  0.0339,  0.4466,2812.9726, 13.4328, 22.4945, 22.2006,  5.5446,1967.5591, 25.7848,3862.1792, 39.0556,5798.1538, 52.3650,8635.6924, 78.9498,10020.6594,105.0000,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,10929.4491, 86.8034,7664.8469, 63.7359,     nan,  0.9591,  0.0000,  1.0526,  0.0000,     nan,  9.0000
 10.0000,  0.0006,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,2948.1022, 13.4845,2948.0013, 13.0259,2948.0000, 13.0000,     nan,     nan, 10.5244, 14.4824,  1.8028,  0.0522,  0.0438,  0.0719,2948.0494, 13.2407,35292.7853, 87.6011, 10.9386, 12.6110,  0.7899, -2.2884, -0.3920, -3.1490, -0.0006, -0.0013, 10.9444, 12.6176,  0.7901, -3.1376,  3.0067,  0.0843,  0.0394,2948.0984, 13.4800, 10.4979, 14.1223,  1.7264,11006.3086, 25.7848,19748.9668, 39.0556,26687.8359, 52.3650,34030.0977, 78.9498,36948.2252,105.0000,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,36858.4818, 64.6940,36429.3212, 63.9072,     nan,  0.9588,  0.0000,  1.0513,  0.0000,     nan, 10.0000
 11.0000,  0.0029,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,587.8865, 21.0152,587.0745, 20.0272,587.8880, 20.9987,  0.1465,  0.1424, 14.1122, 13.0379,  0.7852,  0.9257,  0.6302,  0.8552,587.8883, 20.9974,2812.4865, 92.2415, 11.0291, 11.5200,  0.6805,-42.6930, -2.3754,-39.4431, -0.0006, -0.0006, 11.0348, 11.5266,  0.6804,  0.2310, -0.9118,  0.0584,  0.9035,594.6158, 15.7213,144.2964, 93.5950,-99.1836,820.2853, 25.8653,1482.6962, 39.0504,2047.1381, 52.3589,2645.9128, 78.9446,2967.7474,105.7119,3438.1160,150.0833,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,5848.6444,145.9490,2719.2430, 62.9970, 25.0000,  0.9603,  0.0000,  1.0581,  0.0000,  1.0000, 11.0000
 12.0000,  0.0008,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,2763.1167, 20.3926,2762.9991, 20.0306,2763.0000, 20.0000,     nan,     nan, 10.6143, 11.2749,  0.8148,  0.2258,  0.1650,  0.2399,2763.0585, 20.1978,7783.3966, 82.7917, 10.9006, 12.3883,  0.8674, -9.3475, -0.7176, -9.9293, -0.0006, -0.0012, 10.9063, 12.3949,  0.8679,     nan,     nan,     nan,     nan,2763.1161, 20.3929, 10.6194, 11.0919,  0.7542,2673.8464, 25.7848,4675.2124, 39.0556,6207.3774, 52.3650,7682.9756, 78.9504,8200.4640,105.0000,8663.8916,150.0833,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,8164.7112, 61.4121,8478.2309, 63.6728,     nan,  0.9592,  0.0000,  1.0530,  0.0000,     nan, 12.0000
 13.0000,  0.0028,  0.0000,  0.0000,  2.0000,     nan,     nan,     nan,722.3704, 23.6179,722.0000, 23.0468,722.3552, 23.6293,  0.0861,  0.0880, 11.4229, 11.2115,  1.3592,  0.4945,  0.3489,  0.4853,722.3641, 23.6251,3881.8732, 84.0180, 10.9887, 11.4900,  0.7498,-20.7721, -2.4717,-20.3876, -0.0006, -0.0006, 10.9943, 11.4968,  0.7497,     nan,     nan,     nan,     nan,722.3729, 23.6212, 11.4326, 11.2285,  1.3564,1342.9330, 26.0451,2299.3792, 38.9829,3050.4626, 52.2796,3817.4941, 78.8681,4141.2068,106.4190,4682.5855,150.9967,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,4111.6238, 62.9259,4124.3546, 62.9130, 25.0000,  0.9605,  0.0000,  1.0585,  0.0000,  0.0000, 13.0000
 14.0000,  0.0025,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1006.0074, 25.4270,1005.0451, 25.0434,1005.9884, 25.4262,  0.1184,  0.1347, 14.9622, 18.3452,  0.5520,  0.7624,  0.5973,  0.9348,1006.0028, 25.4268,4003.4276,101.9998, 10.9180, 11.4629,  0.8691,-38.8833, -1.4345,-47.6750, -0.0005, -0.0007, 10.9246, 11.4699,  0.8689, -0.3490, -0.0807,  0.1121,  0.2894,1006.0180, 25.4266, 14.9835, 18.3849,  0.5376,1010.7488, 25.9239,1841.8262, 39.0114,2627.4514, 52.3139,3588.7981, 78.9012,4119.7658,106.4190,4424.9671,150.7481,6117.7757,221.3030,     nan,     nan,     nan,     nan,     nan,     nan,4244.1782, 76.4620,3443.2676, 62.8234, 25.0000,  0.9607,  0.0000,  1.0592,  0.0000,  1.0000, 14.0000
 15.0000,  0.0020,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1528.2877, 23.8887,1528.0477, 23.0247,1528.2933, 23.8803,  0.1302,  0.1432, 11.1720, 12.0864,  1.2293,  0.7569,  0.5598,  0.8189,1528.2907, 23.8788,2515.2451, 85.2068, 10.8405, 11.5385,  1.0003,-32.2476, -3.5484,-34.8870, -0.0005, -0.0008, 10.8470, 11.5451,  1.0001, 16.2157,-31.8132,  1.3971,  0.0320,1528.2886, 23.8778, 11.1748, 12.0993,  1.2353,850.9915, 25.9935,1466.4851, 39.0211,1931.9607, 52.3247,2476.7744, 78.9117,2681.5760,106.4190,2801.3590,150.7481,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,2664.8513, 63.8339,2628.7728, 62.8136, 25.0000,  0.9609,  0.0000,  1.0592,  0.0000,  0.0000, 15.0000
 16.0000,  0.0016,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,1935.2428, 23.0147,1935.0178, 22.9666,1935.2444, 23.0086,  0.1646,  0.1736, 10.7664, 11.0327,  1.5520,  0.9364,  0.6771,  0.9596,1935.2473, 23.0169,1893.1018, 82.3290, 10.8224, 11.7086,  1.0267,-38.5479, -5.5570,-39.5014, -0.0005, -0.0008, 10.8291, 11.7158,  1.0265,     nan,     nan,     nan,     nan,1935.2501, 23.0247, 10.7661, 11.0267,  1.5452,670.6315, 25.9129,1128.5078, 39.0336,1503.9188, 52.3395,1899.0139, 78.9259,1964.4947,106.1838,2066.0020,150.3330,     nan,     nan,     nan,     nan,     nan,     nan,     nan,     nan,2002.8462, 61.5902,2048.9025, 62.9613, 25.0000,  0.9606,  0.0000,  1.0581,  0.0000,  0.0000, 16.0000
 17.0000,  0.0013,  0.0000,  0.0000,  2.0000,     nan,     nan,     nan,2239.4409, 25.5538,2239.0191, 25.0323,2239.4403, 25.5613,  0.0409,  0.0411, 12.3923, 11.1415,  1.1356,  0.2488,  0.1676,  0.2237,2239.4415, 25.5567,8539.5123, 85.7225, 10.8335, 11.9023,  1.0027,-10.6637, -0.9772, -9.5874, -0.0005, -0.0009, 10.8399, 11.9100,  1.0025,     nan,     nan,     nan,     nan,2239.4429, 25.5521, 12.4039, 11.1599,  1.1383,2888.5239, 26.0469,4925.1445, 38.9709,6593.7441, 52.2654,8352.1924, 78.8543,9042.0263,106.4190,10102.4823,150.8310,12527.0498,222.0360,     nan,     nan,     nan,     nan,     nan,     nan,9029.1339, 64.0903,8917.0192, 63.1425,     nan,  0.9603,  0.0000,  1.0567,  0.0000,  0.0000, 17.0000
 18.0000,  0.0028,  0.0000,  0.0000,  0.0000,     nan,     nan,     nan,674.9356, 25.9377,674.0223, 25.0182,674.9434, 25.9383,  0.1008,  0.1105, 10.3116, 11.7818,  0.5882,  0.5459,  0.4132,  0.6237,674.9415, 25.9388,3141.6463, 83.1600, 11.0022, 11.4992,  0.7269,-22.6985, -1.2948,-25.9348, -0.0006, -0.0006, 11.0079, 11.5060,  0.7268,     nan,     nan,     nan,     nan,674.9396, 25.9392, 10.3206, 11.7907,  0.5883,1085.2878, 25.8802,1872.0393, 39.0526,2496.1716, 52.3615,3106.2017, 78.9472,3228.2069,105.4751,3379.8774,150.0000,3581.2364,221.1900,     nan,     nan,     nan,     nan,     nan,     nan,3326.4219, 62.2615,3365.4945, 62.9509, 25.0000,  0.9604,  0.0000,  1.0584,  0.0000,  0.0000, 18.0000
